holding_id,input_Use_roster__id,s21q02,s21q03,s21q04,s21q05,s21q06,s21q07,s21q08,s21q09,s21q10
00-03-19-70,manually operated equipment,9,9,,,,,,No,
00-03-19-70,machine powered equipment,1,1,3,,,,,No,
00-03-38-91,manually operated equipment,8,8,,,,,,No,
00-03-38-91,animal powered equipment,2,2,,,,,,No,
00-03-38-91,Vehicle,1,1,2,,,,,No,
00-03-42-08,manually operated equipment,10,9,,,,,,No,
00-03-42-08,Vehicle,1,0,,0,,1,8000,No,
00-03-42-08,post-harvest equipment,1,0,,0,,1,4800,No,
00-03-43-13,manually operated equipment,6,6,,,,,,No,
00-03-45-75,manually operated equipment,272,272,,,,,,Yes,7
00-03-45-75,machine powered equipment,1,1,2,,,,,No,
00-03-45-75,Vehicle,5,5,3,,,,,No,
00-03-45-75,post-harvest equipment,2,2,3,,,,,No,
00-03-45-75,Animal rearing equipment,20,20,2,,,,84000,Yes,17
00-03-49-11,manually operated equipment,165,165,,,,,,No,
00-03-49-11,machine powered equipment,1,1,6,,,,,No,
00-03-68-44,manually operated equipment,12,11,,,,,,No,
00-03-68-44,animal powered equipment,1,0,,0,,,,No,
00-03-68-44,post-harvest equipment,3,2,0,0,,1,12000,No,
00-03-80-49,manually operated equipment,54,50,,,,,,Yes,4
00-03-80-49,animal powered equipment,3,3,,,,,,No,
00-03-80-49,post-harvest equipment,1,0,,0,,1,32000,No,
00-03-81-14,manually operated equipment,12,12,,,,,,No,
00-03-82-26,manually operated equipment,509,509,,,,,,No,
00-03-82-26,animal powered equipment,2,2,,,,,,No,
00-04-23-22,manually operated equipment,1,0,,,,,,No,
00-04-26-65,manually operated equipment,3,3,,,,,,No,
00-04-30-54,manually operated equipment,5,5,,,,,,No,
00-04-37-37,manually operated equipment,6,6,,,,,,No,
00-04-37-37,animal powered equipment,3,0,,0,,,,No,
00-04-59-21,manually operated equipment,7,6,,,,,,No,
00-04-59-21,animal powered equipment,1,0,,0,,,,No,
00-04-63-22,manually operated equipment,14,14,,,,,,Yes,2
00-04-69-23,manually operated equipment,99,91,,,,,,No,
00-04-69-23,animal powered equipment,1,1,,,,,,No,
00-04-69-23,post-harvest equipment,5,5,2,,,,,No,
00-04-72-61,manually operated equipment,6,6,,,,,,No,
00-04-72-61,Vehicle,2,0,,0,,2,280000,No,
00-04-75-80,manually operated equipment,13,10,,,,,,Yes,2
00-04-78-29,manually operated equipment,10,10,,,,,,No,
00-04-94-01,manually operated equipment,2,2,,,,,,No,
00-05-00-99,manually operated equipment,48,46,,,,,,No,
00-05-00-99,animal powered equipment,1,1,,,,,,No,
00-05-00-99,post-harvest equipment,1,0,,0,,1,34000,No,
00-05-00-99,Animal rearing equipment,1,1,0,,,,,No,
00-05-09-44,manually operated equipment,7,7,,,,,,No,
00-05-09-44,animal powered equipment,1,0,,1,,,,No,
00-05-09-44,Vehicle,1,0,,1,1,,,No,
00-05-17-42,manually operated equipment,5,5,,,,,,No,
00-05-21-27,manually operated equipment,11,11,,,,,,No,
00-05-31-29,manually operated equipment,3,3,,,,,,No,
00-05-38-84,manually operated equipment,33,28,,,,,,No,
00-05-38-84,Vehicle,1,1,1,,,,,No,
00-05-38-84,post-harvest equipment,1,1,0,,,,,No,
00-05-40-20,manually operated equipment,23,23,,,,,,Yes,5
00-05-40-20,animal powered equipment,2,1,,0,,,,No,
00-05-40-20,Vehicle,1,0,,1,2,,,No,
00-05-43-17,manually operated equipment,11,11,,,,,,No,
00-05-43-17,animal powered equipment,1,1,,,,,,No,
00-05-44-46,manually operated equipment,6,6,,,,,,No,
00-05-53-47,manually operated equipment,32,32,,,,,,No,
00-05-56-44,manually operated equipment,6,6,,,,,,No,
00-05-64-29,manually operated equipment,2,2,,,,,,No,
00-05-71-28,manually operated equipment,32,16,,,,,,No,
00-05-71-28,animal powered equipment,1,0,,0,,,,No,
00-05-71-28,post-harvest equipment,1,0,,0,,1,13000,No,
00-05-76-28,manually operated equipment,2,1,,,,,,Yes,1
00-06-07-08,manually operated equipment,2,2,,,,,,No,
00-06-20-64,manually operated equipment,2,2,,,,,,No,
00-06-25-48,manually operated equipment,7,7,,,,,,No,
00-06-25-54,manually operated equipment,8,6,,,,,,No,
00-06-25-54,animal powered equipment,1,0,,1,,,,No,
00-06-70-24,manually operated equipment,20,20,,,,,,No,
00-06-81-45,manually operated equipment,2,2,,,,,,No,
00-06-89-76,manually operated equipment,67,67,,,,,,No,
00-06-89-76,Vehicle,1,0,,0,,1,135000,No,
00-07-04-90,manually operated equipment,7,7,,,,,,No,
00-07-04-90,machine powered land preparation and planting equipment,1,0,,0,,1,50000,No,
00-07-11-84,manually operated equipment,7,7,,,,,,No,
00-07-11-84,Vehicle,1,0,,0,,1,45000,No,
00-07-11-84,post-harvest equipment,1,0,,0,,1,35000,No,
00-07-19-23,manually operated equipment,50,45,,,,,,No,
00-07-19-23,Vehicle,1,0,,0,,1,40000,No,
00-07-19-23,post-harvest equipment,1,0,,0,,1,20000,No,
00-07-19-87,Animal rearing equipment,1,1,5,,,,,No,
00-07-23-59,manually operated equipment,5,5,,,,,,No,
00-07-23-59,animal powered equipment,1,0,,0,,,,No,
00-07-32-40,manually operated equipment,14,14,,,,,,No,
00-07-32-40,machine powered equipment,1,1,2,,,,,No,
00-07-64-99,manually operated equipment,2,2,,,,,,No,
00-07-64-99,Vehicle,1,0,,0,,1,120000,No,
00-07-66-21,manually operated equipment,52,51,,,,,,No,
00-07-66-21,animal powered equipment,1,1,,,,,,No,
00-07-66-21,Vehicle,1,0,,0,,1,180000,No,
00-07-74-48,manually operated equipment,3,3,,,,,,No,
00-07-87-42,manually operated equipment,30,16,,,,,,Yes,30
00-07-87-42,animal powered equipment,1,0,,1,,,,No,
00-08-11-92,manually operated equipment,79,79,,,,,,No,
00-08-11-92,Vehicle,1,1,12,,,,,Yes,2
00-08-11-92,post-harvest equipment,1,0,,1,0,,,No,
00-08-20-03,manually operated equipment,5,5,,,,,,Yes,1
00-08-22-79,manually operated equipment,37,35,,,,,,No,
00-08-22-79,Vehicle,1,0,,0,,1,300000,No,
00-08-27-04,manually operated equipment,22,22,,,,,,No,
00-08-35-03,manually operated equipment,14,14,,,,,,Yes,14
00-08-35-03,animal powered equipment,2,2,,,,,,Yes,2
00-08-37-67,manually operated equipment,5,4,,,,,,Yes,2
00-08-37-67,Vehicle,1,0,,0,,1,40000,No,
00-08-37-67,post-harvest equipment,1,0,,0,,1,20000,No,
00-08-46-88,manually operated equipment,3,3,,,,,,No,
00-08-52-68,manually operated equipment,25,25,,,,,,No,
00-08-87-55,manually operated equipment,26,22,,,,,,Yes,3
00-08-87-55,animal powered equipment,1,0,,1,,,,No,
00-08-87-55,Vehicle,1,0,,0,,1,85000,No,
00-09-20-98,manually operated equipment,6,4,,,,,,No,
00-09-26-25,manually operated equipment,17,14,,,,,,No,
00-09-36-27,manually operated equipment,5,5,,,,,,No,
00-09-40-71,manually operated equipment,30,27,,,,,,No,
00-09-40-71,Vehicle,1,0,,0,,1,20000,No,
00-09-40-71,post-harvest equipment,10,9,2,0,,1,20000,No,
00-09-44-34,manually operated equipment,14,14,,,,,,No,
00-09-52-56,manually operated equipment,33,25,,,,,,No,
00-09-52-56,animal powered equipment,1,1,,,,,,No,
00-09-52-56,Vehicle,1,0,,0,,1,25000,No,
00-09-52-56,post-harvest equipment,4,3,3,0,,1,10500,No,
00-09-77-27,manually operated equipment,16,16,,,,,,No,
00-09-77-27,Vehicle,2,2,3,,,,,No,
00-09-84-29,animal powered equipment,1,0,,0,,,,No,
00-09-96-39,manually operated equipment,8,7,,,,,,No,
00-10-74-29,manually operated equipment,6,6,,,,,,No,
00-11-18-53,manually operated equipment,6,6,,,,,,No,
00-11-18-53,animal powered equipment,2,0,,1,,,,No,
00-11-19-78,manually operated equipment,10,9,,,,,,No,
00-11-19-78,Vehicle,1,0,,0,,1,18000,No,
00-11-23-65,manually operated equipment,1,1,,,,,,Yes,1
00-11-37-78,manually operated equipment,95,95,,,,,,No,
00-11-67-19,manually operated equipment,12,12,,,,,,Yes,4
00-11-67-19,animal powered equipment,1,0,,1,,,,No,
00-11-67-19,Vehicle,1,0,,0,,1,40000,No,
00-12-50-77,manually operated equipment,12,12,,,,,,No,
00-12-50-77,animal powered equipment,1,1,,,,,,No,
00-12-57-13,manually operated equipment,32,32,,,,,,Yes,9
00-12-62-64,manually operated equipment,3,3,,,,,,No,
00-12-62-79,manually operated equipment,4,3,,,,,,No,
00-12-73-56,manually operated equipment,16,16,,,,,,No,
00-12-99-08,manually operated equipment,71,56,,,,,,No,
00-12-99-08,animal powered equipment,1,0,,0,,,,No,
00-12-99-08,Vehicle,2,0,,0,,2,300000,No,
00-12-99-08,post-harvest equipment,1,0,,0,,1,25000,No,
00-13-02-41,manually operated equipment,7,7,,,,,,No,
00-13-34-48,manually operated equipment,3,3,,,,,,No,
00-13-62-62,manually operated equipment,9,9,,,,,,No,
00-13-67-00,manually operated equipment,5,5,,,,,,No,
00-13-67-00,animal powered equipment,1,1,,,,,,No,
00-13-95-16,manually operated equipment,4,4,,,,,,No,
00-13-99-00,manually operated equipment,9,7,,,,,,No,
00-13-99-00,animal powered equipment,1,1,,,,,,No,
00-14-21-50,manually operated equipment,5,5,,,,,,No,
00-14-21-50,animal powered equipment,1,0,,0,,,,No,
00-14-24-86,manually operated equipment,29,22,,,,,,No,
00-14-24-86,animal powered equipment,1,0,,1,,,,No,
00-14-26-86,manually operated equipment,83,83,,,,,,No,
00-14-26-86,Vehicle,2,1,3,0,,1,600000,No,
00-14-32-82,manually operated equipment,8,8,,,,,,No,
00-14-60-93,manually operated equipment,27,27,,,,,,No,
00-14-60-93,Vehicle,1,0,,0,,1,90000,No,
00-14-61-05,manually operated equipment,232,202,,,,,,No,
00-14-61-05,animal powered equipment,2,2,,,,,,No,
00-14-64-12,manually operated equipment,158,158,,,,,,No,
00-14-64-12,animal powered equipment,1,1,,,,,,No,
00-14-64-12,Vehicle,1,1,3,,,,,No,
00-14-71-49,manually operated equipment,11,11,,,,,,No,
00-14-74-89,manually operated equipment,4,2,,,,,,No,
00-14-74-89,post-harvest equipment,1,1,3,,,,,No,
00-14-77-27,manually operated equipment,265,265,,,,,,Yes,13
00-14-77-27,animal powered equipment,1,1,,,,,,No,
00-14-77-27,Vehicle,1,1,3,,,,,No,
00-14-77-27,machine powered land preparation and planting equipment,1,1,3,,,,,No,
00-14-77-27,machine powered crop maintenance equipment,1,1,1,,,,200000,No,
00-14-81-09,manually operated equipment,11,11,,,,,,No,
00-14-88-58,manually operated equipment,11,10,,,,,,No,
00-15-07-77,animal powered equipment,1,0,,0,,,,No,
00-15-19-93,manually operated equipment,16,16,,,,,,No,
00-15-19-93,machine powered land preparation and planting equipment,1,1,3,,,,,No,
00-15-26-33,manually operated equipment,3,3,,,,,,No,
00-15-26-33,animal powered equipment,1,0,,1,,,,No,
00-15-26-33,post-harvest equipment,3,2,0,0,,1,20000,No,
00-15-26-48,manually operated equipment,17,17,,,,,,No,
00-15-46-99,manually operated equipment,2,2,,,,,,No,
00-15-55-52,manually operated equipment,6,4,,,,,,No,
00-15-56-71,manually operated equipment,2,2,,,,,,No,
00-15-87-03,manually operated equipment,3,3,,,,,,No,
00-16-00-42,manually operated equipment,33,33,,,,,,No,
00-16-00-42,animal powered equipment,2,0,,0,,,,No,
00-16-10-68,manually operated equipment,8,2,,,,,,No,
00-16-15-75,manually operated equipment,16,15,,,,,,Yes,2
00-16-15-75,Vehicle,1,0,,0,,1,200000,No,
00-16-31-75,manually operated equipment,33,33,,,,,,No,
00-16-31-75,animal powered equipment,1,1,,,,,,No,
00-16-33-74,manually operated equipment,3,2,,,,,,No,
00-16-47-99,manually operated equipment,29,29,,,,,,No,
00-16-47-99,Vehicle,1,0,,0,,1,160000,No,
00-16-49-08,manually operated equipment,41,41,,,,,,No,
00-16-49-08,post-harvest equipment,5,5,0,,,,,No,
00-16-51-30,manually operated equipment,16,15,,,,,,No,
00-16-56-16,manually operated equipment,10,10,,,,,,No,
00-16-56-16,animal powered equipment,1,0,,0,,,,No,
00-16-64-17,manually operated equipment,5,5,,,,,,No,
00-16-72-45,manually operated equipment,34,34,,,,,,Yes,7
00-16-72-45,Vehicle,1,0,,0,,1,230000,No,
00-16-72-45,machine powered land preparation and planting equipment,1,0,,0,,1,600000,No,
00-16-76-09,manually operated equipment,6,6,,,,,,No,
00-17-21-50,manually operated equipment,14,12,,,,,,No,
00-17-31-71,manually operated equipment,5,1,,,,,,No,
00-17-31-71,Vehicle,1,0,,0,,1,350000,No,
00-17-33-50,manually operated equipment,28,22,,,,,,No,
00-17-33-50,animal powered equipment,1,0,,0,,,,No,
00-17-36-62,manually operated equipment,3,3,,,,,,No,
00-17-40-49,manually operated equipment,15,14,,,,,,No,
00-17-40-49,animal powered equipment,1,0,,0,,,,No,
00-17-63-80,manually operated equipment,9,8,,,,,,No,
00-17-88-17,manually operated equipment,17,17,,,,,,Yes,30
00-17-88-17,Vehicle,1,0,,0,,1,90000,No,
00-17-94-66,manually operated equipment,9,9,,,,,,No,
00-17-94-66,animal powered equipment,2,0,,0,,,,No,
00-17-99-71,manually operated equipment,7,7,,,,,,No,
00-18-43-49,manually operated equipment,5,5,,,,,,No,
00-18-46-49,manually operated equipment,3,3,,,,,,No,
00-18-74-52,manually operated equipment,7,6,,,,,,No,
00-18-83-43,manually operated equipment,12,12,,,,,,No,
00-19-02-95,manually operated equipment,3,3,,,,,,No,
00-19-02-95,animal powered equipment,1,0,,0,,,,No,
00-19-26-13,manually operated equipment,22,21,,,,,,Yes,1
00-19-32-34,manually operated equipment,1,1,,,,,,No,
00-19-32-34,animal powered equipment,2,0,,0,,,,No,
00-19-35-62,manually operated equipment,3,2,,,,,,No,
00-19-35-67,manually operated equipment,37,37,,,,,,No,
00-19-35-67,animal powered equipment,1,1,,,,,,No,
00-19-39-75,manually operated equipment,4,4,,,,,,No,
00-19-64-31,manually operated equipment,9,9,,,,,,No,
00-19-68-59,manually operated equipment,8,8,,,,,,No,
00-19-68-59,animal powered equipment,2,2,,,,,,No,
00-19-78-94,manually operated equipment,5,5,,,,,,No,
00-19-81-97,manually operated equipment,2,2,,,,,,No,
00-19-87-02,manually operated equipment,1,1,,,,,,No,
00-20-22-26,manually operated equipment,4,4,,,,,,No,
00-20-22-26,animal powered equipment,1,1,,,,,,No,
00-20-24-51,manually operated equipment,2,2,,,,,,No,
00-20-24-51,Vehicle,1,0,,1,0,,,No,
00-20-24-93,manually operated equipment,15,11,,,,,,No,
00-20-24-93,animal powered equipment,2,1,,1,,,,No,
00-20-32-17,manually operated equipment,22,22,,,,,,No,
00-20-67-91,manually operated equipment,5,0,,,,,,No,
00-20-67-91,Vehicle,1,0,,0,,1,50000,No,
00-20-73-19,manually operated equipment,3,3,,,,,,No,
00-20-73-19,animal powered equipment,1,0,,1,,,,No,
00-20-95-00,manually operated equipment,6,6,,,,,,No,
00-20-95-00,animal powered equipment,1,0,,0,,,,No,
00-20-95-00,Vehicle,1,0,,0,,1,75000,No,
00-21-01-85,manually operated equipment,56,54,,,,,,Yes,9
00-21-01-85,Vehicle,4,0,,0,,4,535000,No,
00-21-09-69,manually operated equipment,5,5,,,,,,No,
00-21-09-69,Vehicle,1,1,14,,,,,No,
00-21-09-69,post-harvest equipment,1,1,0,,,,,No,
00-21-16-29,manually operated equipment,17,17,,,,,,No,
00-21-16-29,animal powered equipment,1,0,,0,,,,No,
00-21-16-29,Vehicle,1,0,,0,,1,16000,No,
00-21-16-29,post-harvest equipment,1,0,,0,,1,8000,No,
00-21-56-39,manually operated equipment,9,8,,,,,,No,
00-21-66-74,manually operated equipment,69,59,,,,,,No,
00-21-66-74,Vehicle,1,0,,0,,1,100000,No,
00-21-82-95,manually operated equipment,2,1,,,,,,No,
00-21-95-31,manually operated equipment,17,17,,,,,,No,
00-22-02-16,manually operated equipment,30,26,,,,,,No,
00-22-02-16,animal powered equipment,2,0,,0,,,,No,
00-22-02-16,post-harvest equipment,1,0,,0,,1,30000,No,
00-22-14-35,manually operated equipment,22,14,,,,,,Yes,1
00-22-14-35,animal powered equipment,1,1,,,,,,No,
00-22-14-35,post-harvest equipment,2,2,2,,,,,No,
00-22-20-71,manually operated equipment,5,4,,,,,,No,
00-22-20-71,animal powered equipment,1,0,,1,,,,No,
00-22-62-30,manually operated equipment,3,3,,,,,,No,
00-22-62-30,animal powered equipment,3,3,,,,,,No,
00-22-62-30,Vehicle,1,0,,0,,1,50000,No,
00-22-62-36,manually operated equipment,4,4,,,,,,No,
00-22-63-88,manually operated equipment,32,26,,,,,,No,
00-22-63-88,machine powered equipment,1,1,3,,,,,No,
00-22-63-88,Vehicle,1,1,5,,,,,No,
00-22-95-12,manually operated equipment,14,12,,,,,,No,
00-23-14-32,manually operated equipment,4,2,,,,,,No,
00-23-14-32,animal powered equipment,1,0,,0,,,,No,
00-23-15-45,manually operated equipment,7,7,,,,,,No,
00-23-73-51,manually operated equipment,3,3,,,,,,No,
00-23-91-37,manually operated equipment,9,9,,,,,,No,
00-23-91-70,manually operated equipment,1,1,,,,,,No,
00-24-10-09,manually operated equipment,13,13,,,,,,No,
00-24-11-83,manually operated equipment,5,5,,,,,,No,
00-24-20-76,manually operated equipment,3,3,,,,,,No,
00-24-32-31,manually operated equipment,3,3,,,,,,No,
00-24-34-20,manually operated equipment,15,12,,,,,,Yes,2
00-24-34-20,Vehicle,3,0,,0,,3,30000,No,
00-24-34-20,machine powered land preparation and planting equipment,1,0,,0,,1,70000,No,
00-24-37-43,manually operated equipment,6,6,,,,,,No,
00-24-39-08,manually operated equipment,5,5,,,,,,No,
00-24-51-51,manually operated equipment,22,22,,,,,,No,
00-24-51-51,animal powered equipment,1,0,,1,,,,No,
00-24-56-56,manually operated equipment,12,8,,,,,,Yes,2
00-24-56-56,animal powered equipment,1,0,,0,,,,No,
00-24-56-56,Vehicle,3,0,,0,,3,8000,No,
00-24-68-58,manually operated equipment,7,6,,,,,,No,
00-24-70-03,manually operated equipment,2,2,,,,,,No,
00-24-70-03,Vehicle,1,0,,0,,1,50000,No,
00-24-77-76,manually operated equipment,2,2,,,,,,No,
00-24-77-76,post-harvest equipment,1,1,2,,,,,No,
00-24-87-25,manually operated equipment,3,3,,,,,,No,
00-25-14-26,manually operated equipment,17,15,,,,,,Yes,2
00-25-19-80,manually operated equipment,32,32,,,,,,No,
00-25-21-56,manually operated equipment,5,4,,,,,,No,
00-25-21-56,animal powered equipment,1,0,,1,,,,No,
00-25-21-56,Vehicle,1,0,,0,,1,100000,No,
00-25-41-90,manually operated equipment,50,50,,,,,,No,
00-25-41-90,animal powered equipment,4,4,,,,,,No,
00-25-53-05,manually operated equipment,12,11,,,,,,No,
00-25-53-05,animal powered equipment,1,1,,,,,,No,
00-25-59-51,manually operated equipment,18,18,,,,,,No,
00-25-59-51,animal powered equipment,1,0,,0,,,,No,
00-25-59-51,Vehicle,1,0,,0,,1,24000,No,
00-25-68-54,manually operated equipment,4,4,,,,,,Yes,4
00-25-68-54,animal powered equipment,1,1,,,,,,No,
00-25-71-60,manually operated equipment,19,19,,,,,,Yes,4
00-25-71-62,manually operated equipment,5,5,,,,,,No,
00-25-71-62,animal powered equipment,1,0,,0,,,,No,
00-25-71-62,machine powered land preparation and planting equipment,1,0,,0,,1,60000,No,
00-25-71-62,post-harvest equipment,1,0,,0,,1,2000,No,
00-25-75-19,manually operated equipment,3,3,,,,,,No,
00-25-75-19,animal powered equipment,1,0,,0,,,,No,
00-25-98-73,manually operated equipment,4,4,,,,,,No,
00-25-99-62,manually operated equipment,5,5,,,,,,Yes,5
00-25-99-62,animal powered equipment,1,1,,,,,,No,
00-26-02-21,manually operated equipment,3,3,,,,,,No,
00-26-02-21,animal powered equipment,2,2,,,,,,No,
00-26-05-81,manually operated equipment,5,5,,,,,,No,
00-26-09-98,manually operated equipment,3,3,,,,,,No,
00-26-09-98,animal powered equipment,1,1,,,,,,No,
00-26-15-54,manually operated equipment,3,3,,,,,,No,
00-26-36-40,manually operated equipment,10,9,,,,,,No,
00-26-44-79,manually operated equipment,2,2,,,,,,No,
00-26-56-97,manually operated equipment,72,72,,,,,,No,
00-26-56-97,Vehicle,1,1,10,,,,,No,
00-26-62-90,manually operated equipment,4,4,,,,,,No,
00-26-86-91,manually operated equipment,8,8,,,,,,No,
00-26-86-91,animal powered equipment,1,1,,,,,,No,
00-26-91-04,manually operated equipment,3,3,,,,,,No,
00-26-91-28,manually operated equipment,122,122,,,,,,No,
00-26-91-28,machine powered land preparation and planting equipment,1,0,,0,,1,120000,No,
00-26-94-02,manually operated equipment,23,22,,,,,,No,
00-26-95-96,manually operated equipment,4,4,,,,,,No,
00-27-32-77,manually operated equipment,2,2,,,,,,No,
00-27-59-16,manually operated equipment,84,80,,,,,,No,
00-27-59-16,animal powered equipment,5,0,,0,,,,No,
00-27-65-36,manually operated equipment,3,3,,,,,,No,
00-27-68-19,manually operated equipment,17,17,,,,,,No,
00-27-68-61,manually operated equipment,7,7,,,,,,Yes,2
00-27-75-07,manually operated equipment,3,3,,,,,,No,
00-27-89-89,manually operated equipment,4,4,,,,,,No,
00-27-89-89,animal powered equipment,2,0,,2,,,,No,
00-28-27-64,manually operated equipment,7,5,,,,,,No,
00-28-52-61,manually operated equipment,42,37,,,,,,No,
00-28-52-61,animal powered equipment,1,0,,0,,,,No,
00-28-52-61,Vehicle,2,0,,0,,2,140000,No,
00-28-52-61,post-harvest equipment,2,2,0,,,,,No,
00-28-55-82,manually operated equipment,1,1,,,,,,No,
00-28-57-46,manually operated equipment,3,3,,,,,,No,
00-28-57-46,Vehicle,1,0,,0,,1,100000,No,
00-28-59-39,manually operated equipment,76,76,,,,,,No,
00-28-59-39,Vehicle,1,0,,0,,1,125000,No,
00-28-66-32,manually operated equipment,39,36,,,,,,No,
00-28-66-32,Vehicle,2,0,,0,,2,90000,No,
00-28-66-32,post-harvest equipment,3,2,2,0,,1,23800,No,
00-28-76-23,manually operated equipment,12,12,,,,,,Yes,11
00-28-76-23,animal powered equipment,3,3,,,,,,No,
00-28-76-63,manually operated equipment,4,4,,,,,,No,
00-28-80-31,manually operated equipment,25,25,,,,,,Yes,25
00-28-80-31,Vehicle,1,1,1,,,,,Yes,1
00-28-82-84,manually operated equipment,49,49,,,,,,Yes,9
00-28-82-84,animal powered equipment,3,0,,0,,,,No,
00-28-82-84,machine powered land preparation and planting equipment,1,0,,0,,1,80000,No,
00-29-05-73,animal powered equipment,1,0,,0,,,,No,
00-29-09-32,manually operated equipment,7,4,,,,,,No,
00-29-09-32,Vehicle,1,0,,0,,1,80000,No,
00-29-22-22,manually operated equipment,16,16,,,,,,No,
00-29-39-81,manually operated equipment,18,18,,,,,,No,
00-29-39-81,Vehicle,1,1,3,,,,,No,
00-29-39-81,machine powered crop harvesting equipment,2,2,3,,,,,No,
00-29-73-51,manually operated equipment,5,5,,,,,,No,
00-29-77-77,manually operated equipment,2,2,,,,,,No,
00-29-86-15,manually operated equipment,19,18,,,,,,No,
00-29-86-15,animal powered equipment,1,0,,1,,,,No,
00-29-88-01,manually operated equipment,23,23,,,,,,No,
00-29-99-22,manually operated equipment,2,2,,,,,,No,
00-30-06-91,manually operated equipment,1,1,,,,,,No,
00-30-06-91,Vehicle,1,0,,0,,1,50000,No,
00-30-27-80,manually operated equipment,57,56,,,,,,No,
00-30-27-80,animal powered equipment,3,0,,0,,,,No,
00-30-27-80,machine powered land preparation and planting equipment,1,0,,0,,1,60000,No,
00-30-30-56,manually operated equipment,9,9,,,,,,No,
00-30-30-56,animal powered equipment,2,0,,0,,,,No,
00-30-39-37,manually operated equipment,2,2,,,,,,No,
00-30-39-37,Vehicle,1,0,,0,,1,90000,No,
00-30-70-01,manually operated equipment,4,4,,,,,,No,
00-30-70-01,animal powered equipment,1,1,,,,,,No,
00-30-86-72,manually operated equipment,59,59,,,,,,No,
00-30-86-72,animal powered equipment,2,2,,,,,,No,
00-30-86-72,machine powered equipment,1,1,2,,,,,No,
00-30-95-03,manually operated equipment,15,11,,,,,,No,
00-31-04-97,manually operated equipment,5,5,,,,,,Yes,5
00-31-26-41,manually operated equipment,7,4,,,,,,No,
00-31-48-93,manually operated equipment,23,19,,,,,,Yes,4
00-31-58-92,manually operated equipment,4,4,,,,,,No,
00-31-72-15,manually operated equipment,1,1,,,,,,No,
00-31-79-08,manually operated equipment,17,16,,,,,,Yes,3
00-31-79-08,animal powered equipment,2,0,,0,,,,No,
00-31-81-38,manually operated equipment,17,16,,,,,,No,
00-31-83-65,manually operated equipment,14,14,,,,,,Yes,10
00-31-83-65,animal powered equipment,2,2,,,,,,No,
00-31-84-61,manually operated equipment,3,3,,,,,,No,
00-31-93-40,manually operated equipment,12,12,,,,,,No,
00-32-03-31,manually operated equipment,26,26,,,,,,No,
00-32-03-31,animal powered equipment,1,0,,0,,,,No,
00-32-05-58,manually operated equipment,6,6,,,,,,No,
00-32-05-58,animal powered equipment,1,1,,,,,,No,
