holding_id,crop_id,s9q01,s9q02__1,s9q02__2,s9q02__3,s9q02__4,s9q02__5,s9q02__6,s9q02__7,s9q02__8,s9q02__99,s9q03,s9q04,s9q05,s9q06,s9q07,s9q08,s9q09,s9q10,s9q10a,s9q11
00-03-19-70,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-03-38-91,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-03-38-91,Cotton,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,4000000,,,,,,,,
00-03-42-08,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-03-43-13,Maize,No,Yes,Yes,Yes,No,No,No,No,No,No,68,1020000,27,5,,,,,,
00-03-43-13,Cassava,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,740000,,,,,,,,
00-03-45-75,Maize,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,95,18000000,3,1,,1,,,,
00-03-45-75,Beans,Yes,No,No,No,No,No,Yes,No,No,No,,,,,,,All - 100%,,,
00-03-49-11,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-03-68-44,Maize,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,17,60000,77,3,,,3,,,
00-03-80-49,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-03-80-49,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Half - 50%,550000,One quarter - 25%,,,,One quarter - 25%,,,
00-03-80-49,Groundnut,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,Half - 50%,One quarter - 25%,,,One quarter - 25%,,,
00-03-81-14,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-03-81-14,Cassava,No,No,Yes,Yes,No,No,No,No,No,No,,,90,10,,,,,,
00-03-82-26,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,90,1344000,10,,,,,,,
00-03-82-26,Irish potatoes,Yes,Yes,Yes,No,No,No,No,No,No,No,90,16000000,10,,,,,,,
00-04-23-22,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-23-22,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-30-54,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-37-37,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,80,,,,20,,,
00-04-59-21,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,42,225000,58,,,,,,,
00-04-59-21,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,40,600000,60,,,,,,,
00-04-59-21,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-59-21,Mango,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Half - 50%,Half - 50%,,,,,,
00-04-63-22,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,82,,,,6,,,
00-04-63-22,Sweet potatoes,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
00-04-63-22,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-63-22,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,70,,,,10,,,
00-04-69-23,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,67,2750000,33,,,,,,,
00-04-69-23,Chick peas,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,1800000,,,,,,,,
00-04-75-80,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-75-80,Pigeon pea,No,Yes,No,No,No,No,No,No,No,No,All - 100%,600000,,,,,,,,
00-04-78-29,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-78-29,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-04-94-01,Paddy,No,No,Yes,No,No,No,Yes,No,No,No,,,95,,,,5,,,
00-05-00-99,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,41,200000,59,,,,,,,
00-05-00-99,Beans,Yes,Yes,Yes,No,No,No,Yes,No,No,No,40,80000,51,,,,9,,,
00-05-09-44,Maize,No,Yes,Yes,No,No,No,No,No,No,No,5,20000,95,,,,,,,
00-05-09-44,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-09-44,Groundnut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-09-44,Cotton,No,Yes,No,No,No,No,No,No,No,No,All - 100%,1415400,,,,,,,,
00-05-17-42,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-17-42,Pigeon pea,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-17-42,Groundnut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,150000,,,,,,,,
00-05-21-27,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-21-27,Beans,No,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
00-05-31-29,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-31-29,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-38-84,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,71,175000,29,,,,,,,
00-05-38-84,Beans,Yes,Yes,Yes,No,No,No,Yes,No,No,No,78,2205000,11,,,,11,,,
00-05-40-20,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-40-20,Cowpeas,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-40-20,Sunflower,Yes,Yes,Yes,No,No,No,No,No,No,No,56,400000,44,,,,,,,
00-05-43-17,Maize,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,70,10,,,20,,,
00-05-43-17,Paddy,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,40,600000,30,10,,,20,,,
00-05-43-17,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,70,,,,30,,,
00-05-44-46,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-44-46,Beans,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-44-46,Coffee,No,Yes,No,No,No,No,No,No,No,No,All - 100%,175000,,,,,,,,
00-05-53-47,Maize,No,Yes,Yes,No,No,No,No,No,No,No,One quarter - 25%,120000,Three-quarters - 75%,,,,,,,
00-05-53-47,Cassava,No,Yes,Yes,No,No,No,No,No,No,No,One quarter - 25%,30000,Three-quarters - 75%,,,,,,,
00-05-56-44,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-64-29,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-64-29,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-64-29,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-71-28,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-05-71-28,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,120000,,,,,,,,
00-05-76-28,Maize,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Half - 50%,Half - 50%,,,,,,
00-06-07-08,Cassava,Yes,No,Yes,Yes,No,No,No,No,No,No,,,40,60,,,,,,
00-06-20-64,Cassava,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-06-25-48,Paddy,No,No,Yes,Yes,No,No,Yes,No,No,No,,,28,14,,,58,,,
00-06-25-48,Cassava,No,No,Yes,Yes,No,No,No,No,No,No,,,17,83,,,,,,
00-06-25-54,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-06-25-54,Cotton,No,Yes,No,No,No,No,No,No,No,No,All - 100%,1050000,,,,,,,,
00-06-70-24,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-06-70-24,Sweet potatoes,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-06-70-24,Groundnut,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-06-81-45,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-06-89-76,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-07-04-90,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-07-11-84,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,2016000,One quarter - 25%,,,,,,,
00-07-11-84,Sunflower,Yes,No,No,No,No,No,No,Yes,No,No,,,,,,,,All - 100%,,
00-07-19-23,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-07-19-23,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-07-23-59,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-07-32-40,Paddy,Yes,No,Yes,No,No,No,Yes,No,No,No,,,95,,,,5,,,
00-07-32-40,Amaranths,Yes,Yes,Yes,Yes,No,No,No,No,No,No,85,75000,10,5,,,,,,
00-07-64-99,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,168000,Half - 50%,,,,,,,
00-07-64-99,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,880000,,,,,,,,
00-07-66-21,Maize,Yes,Yes,Yes,No,Yes,No,No,No,No,No,60,810000,30,,10,,,,,
00-07-66-21,Finger Millet,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-07-66-21,Pigeon pea,Yes,Yes,Yes,No,No,No,Yes,No,No,No,80,1620000,10,,,,10,,,
00-07-74-48,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,36,140000,64,,,,,,,
00-07-74-48,Cassava,Yes,Yes,Yes,No,No,No,No,No,No,No,33,40000,67,,,,,,,
00-07-87-42,Paddy,No,Yes,No,No,No,No,No,No,No,No,All - 100%,1000000,,,,,,,,
00-08-11-92,Maize,Yes,Yes,Yes,No,Yes,No,No,No,No,No,54,2000000,26,,20,,,,,
00-08-11-92,Groundnut,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Three-quarters - 75%,240000,13,,,,12,,,
00-08-11-92,Cotton,No,Yes,No,No,No,No,No,No,No,No,All - 100%,1500000,,,,,,,,
00-08-20-03,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-08-22-79,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-08-27-04,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-08-35-03,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,450000,Half - 50%,,,,,,,
00-08-35-03,Paddy,Yes,No,Yes,No,No,No,No,Yes,No,No,,,One quarter - 25%,,,,,Three-quarters - 75%,,
00-08-37-67,Maize,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,89,10,,,1,,,
00-08-37-67,Beans,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,96,1,,,3,,,
00-08-46-88,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,90,2160000,10,,,,,,,
00-08-52-68,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,67,240000,33,,,,,,,
00-08-52-68,Cassava,No,Yes,Yes,No,No,No,No,No,No,No,57,168000,43,,,,,,,
00-08-52-68,Sweet potatoes,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,45000,Half - 50%,,,,,,,
00-08-52-68,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-08-52-68,Groundnut,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,60000,Half - 50%,,,,,,,
00-08-87-55,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-08-87-55,Sweet potatoes,No,Yes,No,No,No,No,No,No,No,No,All - 100%,280000,,,,,,,,
00-08-87-55,Beans,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Half - 50%,490000,One quarter - 25%,,,,One quarter - 25%,,,
00-08-87-55,Pigeon pea,Yes,Yes,No,No,No,No,Yes,No,No,No,Three-quarters - 75%,240000,,,,,One quarter - 25%,,,
00-09-20-98,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-26-25,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-26-25,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
00-09-26-25,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-36-27,Cassava,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-36-27,Sweet potatoes,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-40-71,Maize,Yes,Yes,Yes,Yes,No,No,No,No,No,No,19,100000,70,11,,,,,,
00-09-44-34,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-44-34,Pigeon pea,No,Yes,No,No,No,No,No,No,No,No,All - 100%,200000,,,,,,,,
00-09-44-34,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,1200000,,,,,,,,
00-09-44-34,Groundnut,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,90000,Half - 50%,,,,,,,
00-09-44-34,Cashew nut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,600000,,,,,,,,
00-09-52-56,Maize,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,43,300000,51,3,,,3,,,
00-09-52-56,Avocado,No,Yes,Yes,Yes,No,No,No,No,No,No,85,120000,5,10,,,,,,
00-09-84-29,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-84-29,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-09-96-39,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-10-74-29,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-10-74-29,Beans,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-11-18-53,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,44,800000,56,,,,,,,
00-11-18-53,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Half - 50%,1800000,45,,,,5,,,
00-11-18-53,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
00-11-19-78,Maize,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Half - 50%,Half - 50%,,,,,,
00-11-23-65,Paddy,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
00-11-37-78,Paddy,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,92,6,,,2,,,
00-11-37-78,Cassava,No,Yes,Yes,Yes,No,No,No,No,No,No,82,1948000,16,2,,,,,,
00-11-37-78,Banana,No,Yes,Yes,Yes,No,No,No,No,No,No,16,148000,78,6,,,,,,
00-11-67-19,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-50-77,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,31,270000,69,,,,,,,
00-12-50-77,Sunflower,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,270000,,,,,,,,
00-12-50-77,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,91,,,,9,,,
00-12-57-13,Maize,No,Yes,Yes,No,No,No,No,No,No,No,20,30000,80,,,,,,,
00-12-57-13,Paddy,No,Yes,Yes,No,No,No,No,No,No,No,One quarter - 25%,100000,Three-quarters - 75%,,,,,,,
00-12-62-64,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-62-64,Mango,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-62-79,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-62-79,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-62-79,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-73-56,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-12-73-56,Sesame,Yes,Yes,No,No,No,No,Yes,No,No,No,49.74874,1350000,,,,,50.25126,,,
00-12-99-08,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,64,800000,36,,,,,,,
00-12-99-08,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,600000,,,,,,,,
00-12-99-08,Groundnut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,300000,,,,,,,,
00-13-02-41,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-02-41,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-34-48,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-62-62,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-62-62,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-67-00,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-95-16,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-13-99-00,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,350000,Half - 50%,,,,,,,
00-13-99-00,Coffee,No,Yes,No,No,No,No,No,No,No,No,All - 100%,790000,,,,,,,,
00-14-21-50,Bulrush Millet,Yes,No,Yes,No,No,No,Yes,No,No,No,,,98,,,,2,,,
00-14-24-86,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-24-86,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-26-86,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Three-quarters - 75%,5400000,22,,,,3,,,
00-14-32-82,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-32-82,Groundnut,Yes,Yes,Yes,No,No,No,No,No,No,No,83,500000,17,,,,,,,
00-14-60-93,Maize,No,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
00-14-60-93,Paddy,No,Yes,Yes,No,No,No,No,No,No,No,91,990000,9,,,,,,,
00-14-60-93,Pigeon pea,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-60-93,Groundnut,No,No,Yes,Yes,No,No,Yes,No,No,No,,,70,10,,,20,,,
00-14-60-93,Cashew nut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,900000,,,,,,,,
00-14-61-05,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,80,2880000,20,,,,,,,
00-14-61-05,Paddy,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,42,2800000,Half - 50%,,5,,3,,,
00-14-61-05,Sweet potatoes,No,Yes,Yes,No,No,No,No,No,No,No,86,1260000,14,,,,,,,
00-14-61-05,Sunflower,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-61-05,Groundnut,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-64-12,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-64-12,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,57,1620000,43,,,,,,,
00-14-64-12,Groundnut,Yes,Yes,Yes,No,No,No,Yes,No,No,No,66,432000,26,,,,8,,,
00-14-71-49,Maize,No,Yes,Yes,No,No,No,No,No,No,No,One quarter - 25%,140000,Three-quarters - 75%,,,,,,,
00-14-74-89,Paddy,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
00-14-77-27,Maize,Yes,Yes,No,No,No,Yes,No,No,No,No,80,6400000,,,,20,,,,
00-14-77-27,Paddy,Yes,Yes,No,No,No,Yes,No,No,No,No,95,6800000,,,,5,,,,
00-14-77-27,Sorghum,No,Yes,No,No,No,No,Yes,No,No,No,99,1566000,,,,,1,,,
00-14-77-27,Groundnut,No,Yes,No,No,No,Yes,Yes,No,No,No,98,8100000,,,,1,1,,,
00-14-81-09,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-14-81-09,Cocoyams,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
