holding_id,FIELD__id,MASIKAPLOT__id,s6q02,s6q03_hectares,s6q04,s6q05a,s6q05b,s6q06,s6q07,s6q08__1,s6q08__2,s6q08__3,s6q08__4,s6q08__5,s6q08__6,s6q08__7,s6q08__99,s6q09,s6q10__8,s6q10__9,s6q10__10,s6q10__11,s6q10__12,s6q10__13,s6q10__14,s6q10__115,s6q10__116,s6q10__117,s6q10__118,s6q10__119,s6q10__120,s6q10__121,s6q10__99,s6q10a,s6q11,s6q12__16,s6q12__17,s6q12__18,s6q12__19,s6q12__20,s6q12__21
00-00-97-34,1,2,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-00-97-34,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-04-71,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-05-10,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-05-10,1,2,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-19-31,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-32-98,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-50-14,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-50-14,1,2,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-50-14,2,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-50-14,2,2,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-65-16,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-01-76-00,1,1,CULTIVATED WITH CROPS,1,INTERCROPPED,No,,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-01-76-00,1,2,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-76-00,1,3,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-78-16,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-01-78-16,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-01-78-16,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-01-78-16,4,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-78-16,5,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-01-78-16,6,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-01-78-16,7,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-01-88-91,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,Yes,No,No
00-01-88-91,2,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,Yes,No,No
00-01-98-69,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-01-98-69,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Three-quarters - 75%,Yes,Yes,No,No,No,No,No
00-01-98-69,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Three-quarters - 75%,Yes,Yes,No,No,No,No,No
00-02-02-21,1,1,CULTIVATED WITH CROPS,3,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-29-95,1,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-02-29-95,1,2,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-34-98,1,1,CULTIVATED WITH CROPS,1,INTERCROPPED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-83-12,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-83-12,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-83-12,3,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-83-89,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-93-97,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-02-93-97,1,2,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-93-97,1,3,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-93-97,2,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-02-93-97,2,2,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-02-93-97,2,3,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-00-74,1,1,CULTIVATED WITH CROPS,1,PURE STAND,Yes,One quarter - 25%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-03-19-70,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-03-19-70,1,2,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-19-70,1,3,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-42-08,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-03-45-75,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-03-45-75,1,2,CULTIVATED WITH CROPS,0,PURE STAND,Yes,All - 100%,MANUAL IRRIGATION,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,Yes,No,No
00-03-45-75,1,3,CULTIVATED WITH CROPS,0,PURE STAND,Yes,All - 100%,MANUAL IRRIGATION,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,Yes,No,No
00-03-45-75,2,1,CULTIVATED WITH CROPS,85,MIXED,No,,,No,,,,,,,,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,No,No,No,Yes,No,No
00-03-45-75,2,3,CULTIVATED WITH CROPS,7,PURE STAND,No,,,No,,,,,,,,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,No,No,No,Yes,No,No
00-03-45-75,2,4,CULTIVATED WITH CROPS,85,PURE STAND,Yes,All - 100%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,Yes,No,No
00-03-49-11,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-68-44,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-03-80-49,1,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,Yes,No,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-80-49,2,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,Yes,No,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-03-80-49,2,2,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-81-14,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-81-14,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-03-82-26,1,1,CULTIVATED WITH CROPS,5,INTERCROPPED,Yes,Half - 50%,MANUAL IRRIGATION,No,,,,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-04-30-54,1,1,CULTIVATED WITH CROPS,0,INTERCROPPED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-37-37,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-37-37,1,2,TEMPORARILY LEFT FALLOW,1,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,No
00-04-59-21,1,1,CULTIVATED WITH CROPS,0,MIXED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-59-21,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-59-21,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-04-59-21,4,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,No,No,Yes,No,No,No
00-04-63-22,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-69-23,1,1,CULTIVATED WITH CROPS,3,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-04-69-23,2,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-69-23,3,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-04-72-61,1,1,CULTIVATED WITH CROPS,1,PURE STAND,Yes,All - 100%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,Yes,Yes,No,No
00-04-72-61,2,1,CULTIVATED WITH CROPS,1,PURE STAND,Yes,All - 100%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,Yes,Yes,No,No
00-04-72-61,3,1,CULTIVATED WITH CROPS,1,PURE STAND,Yes,All - 100%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,Yes,Yes,No,No
00-04-78-29,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-04-94-01,1,1,CULTIVATED WITH CROPS,0,PURE STAND,Yes,All - 100%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-00-99,1,1,CULTIVATED WITH CROPS,0,INTERCROPPED,No,,,Yes,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,Yes,No,No
00-05-09-44,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-05-09-44,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-05-17-42,1,1,CULTIVATED WITH CROPS,2,INTERCROPPED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-21-27,1,1,TEMPORARILY LEFT FALLOW,0,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,No
00-05-21-27,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-38-84,1,1,CULTIVATED WITH CROPS,1,INTERCROPPED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-40-20,2,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-40-20,2,2,CULTIVATED WITH CROPS,0,MIXED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-40-20,3,1,CULTIVATED WITH CROPS,8,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-43-17,1,1,CULTIVATED WITH CROPS,0,INTERCROPPED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-43-17,1,2,CULTIVATED WITH CROPS,0,PURE STAND,Yes,All - 100%,FLOODING/SURFACE/FURROW,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-44-46,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-44-46,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-44-46,3,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-05-53-47,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-56-44,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-64-29,1,1,CULTIVATED WITH CROPS,0,MIXED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-05-71-28,1,1,CULTIVATED WITH CROPS,1,MIXED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-25-48,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-25-48,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-25-54,1,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-25-54,2,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-06-70-24,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-06-70-24,2,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-70-24,3,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-81-45,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-06-89-76,1,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-06-89-76,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,Yes,Yes,No,No,No,No,No
00-07-04-90,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-07-11-84,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-07-11-84,1,2,CULTIVATED WITH CROPS,0,PURE STAND,No,,,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-07-19-23,1,1,CULTIVATED WITH CROPS,4,INTERCROPPED,No,,,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-07-23-59,1,1,CULTIVATED WITH CROPS,4,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-07-32-40,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-07-32-40,2,1,CULTIVATED WITH CROPS,0,INTERCROPPED,Yes,All - 100%,MANUAL IRRIGATION,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Half - 50%,Yes,Yes,No,No,Yes,No,No
00-07-64-99,1,1,TEMPORARILY LEFT FALLOW,1,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,No
00-07-66-21,1,1,CULTIVATED WITH CROPS,4,INTERCROPPED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-11-92,1,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-11-92,2,1,CULTIVATED WITH CROPS,4,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-08-11-92,2,2,CULTIVATED WITH CROPS,4,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-11-92,2,3,CULTIVATED WITH CROPS,4,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,Yes,Yes,No,No,No,No,No
00-08-11-92,2,4,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-22-79,1,1,CULTIVATED WITH CROPS,2,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-27-04,1,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-35-03,1,1,CULTIVATED WITH CROPS,3,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,One quarter - 25%,No,,,,,,No
00-08-35-03,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-35-03,3,1,CULTIVATED WITH CROPS,5,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-37-67,1,1,CULTIVATED WITH CROPS,0,INTERCROPPED,No,,,No,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-08-37-67,2,1,CULTIVATED WITH CROPS,1,INTERCROPPED,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-08-46-88,1,1,CULTIVATED WITH CROPS,4,PURE STAND,No,,,No,,,,,,,,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,All - 100%,No,,,,,,No
00-08-52-68,1,1,CULTIVATED WITH CROPS,1,MIXED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-87-55,1,1,CULTIVATED WITH CROPS,1,MIXED,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-87-55,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-08-87-55,3,1,CULTIVATED WITH CROPS,1,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-09-26-25,1,1,CULTIVATED WITH CROPS,0,MIXED,No,,,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-09-26-25,2,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
00-09-26-25,3,1,TEMPORARILY LEFT FALLOW,0,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,No
00-09-26-25,4,1,CULTIVATED WITH CROPS,0,PURE STAND,No,,,No,,,,,,,,No,No,,,,,,,,,,,,,,,No,,No,,,,,,No
