holding_id,FIELD__id,VULIPLOT__id,crop_id,TEMP_PERM,areaPlanted,s5q03,s5q04__1,s5q04__2,s5q04__3,s5q04a,s5q04a_Unit,s5q05,s5q06__1,s5q06__2,s5q06__3,s5q06__4,s5q06__5,s5q06__6,s5q06__7,s5q06__8,s5q06__9,s5q06__99,s5q07,areaHarvested,s5q10__1,s5q10__2,s5q10__3,s5q10__4,s5q10__5,s5q10__6,s5q10__7,s5q10__8,s5q10__9,s5q10__99,s5q11,s5q12,s5q13,s5q14,s5q14a,s5q14b_unit,harvest_ton
00-04-59-21,2,1,Cassava,Temporary,0,SEPTEMBER 2023,No,No,Yes,1000,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-04-59-21,2,1,Mango,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPACT,.2,1,No,,,
00-04-59-21,3,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,,,,,,,,,,,,,,,,,0
00-04-63-22,1,1,Maize,Temporary,1,SEPTEMBER 2023,Yes,Yes,No,12,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-04-63-22,1,1,Beans,Temporary,0,OCTOBER 2023,No,Yes,No,5,KILOGRAM,Yes,,,,,,,,,,,December 2023,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-04-63-22,1,1,Groundnut,Temporary,0,OCTOBER 2023,No,Yes,No,10,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-04-63-22,2,1,Cassava,Temporary,0,SEPTEMBER 2023,No,Yes,No,3700,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-04-75-80,1,1,Maize,Temporary,1,NOVEMBER 2023,No,Yes,No,8,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,Yes,No,No,No,No,No,No,No,No,No,,,,,,,0
00-04-75-80,1,1,Pigeon pea,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPACT,,,Yes,2,KILOGRAM,
00-04-78-29,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,Yes,No,No,,,,,,,0
00-05-09-44,2,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,2,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-05-09-44,2,1,Cassava,Temporary,0,SEPTEMBER 2023,No,Yes,No,1500,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-05-09-44,2,1,Beans,Temporary,0,SEPTEMBER 2023,No,Yes,No,4,KILOGRAM,Yes,,,,,,,,,,,December 2023,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-05-09-44,2,1,Groundnut,Temporary,0,SEPTEMBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-05-09-44,2,2,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,6,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,1
00-05-21-27,1,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,2,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,,,,,,,,,,,,,,,,,0
00-05-21-27,2,1,Maize,Temporary,0,NOVEMBER 2023,Yes,No,No,2,KILOGRAM,Yes,,,,,,,,,,,May 2024,0,,,,,,,,,,,,,,,,,0
00-05-31-29,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,8,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-05-31-29,1,1,Beans,Temporary,0,SEPTEMBER 2023,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,December 2023,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-05-53-47,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,5,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,1
00-05-53-47,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,2150,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-05-64-29,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,3,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-05-64-29,1,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,FARMER IS UNABLE TO QUANTIFY,,No,,,
00-05-76-28,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,Yes,No,Yes,No,No,No,No,No,,,,,,,1
00-06-07-08,1,1,Cassava,Temporary,0,NOVEMBER 2023,No,Yes,No,3900,CUTTINGS,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-06-20-64,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,628,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,,,,,,,,,,,,,,,,,0
00-06-81-45,1,1,Cassava,Temporary,0,FEBRUARY 2024,Yes,No,No,800,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,,,,,,,,,,,,,,,,,0
00-06-89-76,1,1,Maize,Temporary,2,NOVEMBER 2023,Yes,No,No,24,KILOGRAM,Yes,,,,,,,,,,,March 2024,2,,,,,,,,,,,,,,,,,4
00-06-89-76,2,1,Maize,Temporary,0,NOVEMBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,,,,,,,,,,,,,,,,,1
00-07-64-99,1,1,Maize,Temporary,0,JANUARY 2024,No,Yes,No,8,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,,,,,,,,,,,,,,,,,0
00-07-64-99,1,1,Sesame,Temporary,0,JANUARY 2024,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,,,,,,,,,,,,,,,,,0
00-07-74-48,1,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-07-74-48,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,390,CUTTINGS,Yes,,,,,,,,,,,July 2024,0,No,No,No,No,No,No,No,No,Yes,No,,,,,,,0
00-07-74-48,2,1,Maize,Temporary,0,OCTOBER 2023,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,Yes,No,No,No,No,No,No,No,No,No,,,,,,,0
00-07-74-48,2,2,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-07-74-48,2,2,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,301,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-07-87-42,1,1,Paddy,Temporary,0,JANUARY 2024,No,Yes,No,32,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,,,,,,,,,,,,,,,,,1
00-08-20-03,1,1,Maize,Temporary,1,OCTOBER 2023,Yes,No,No,3,KILOGRAM,Yes,,,,,,,,,,,February 2024,1,No,Yes,No,No,No,No,No,No,No,No,,,,,,,1
00-08-20-03,3,1,Paddy,Temporary,0,NOVEMBER 2023,No,Yes,No,50,KILOGRAM,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,0
00-08-52-68,1,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,10,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-08-52-68,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,3000,CUTTINGS,Yes,,,,,,,,,,,August 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,1
00-08-52-68,1,1,Beans,Temporary,0,OCTOBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-08-52-68,1,1,Groundnut,Temporary,0,OCTOBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-08-52-68,1,1,Mango,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,4,4,No,,,
00-08-52-68,2,1,Maize,Temporary,0,OCTOBER 2023,No,Yes,No,12,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-08-52-68,2,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,3000,CUTTINGS,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,0
00-08-52-68,2,1,Beans,Temporary,0,OCTOBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-08-52-68,2,1,Groundnut,Temporary,0,OCTOBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-08-52-68,3,1,Maize,Temporary,0,OCTOBER 2023,No,Yes,No,12,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-08-52-68,3,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,3000,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-08-52-68,3,1,Beans,Temporary,0,OCTOBER 2023,No,Yes,No,20,KILOGRAM,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,0
00-08-52-68,3,1,Groundnut,Temporary,0,OCTOBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-20-98,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,6,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-09-20-98,1,1,Cassava,Temporary,0,SEPTEMBER 2023,No,Yes,No,3000,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-09-26-25,1,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,2,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-26-25,1,1,Beans,Temporary,0,OCTOBER 2023,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-26-25,1,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,FARMER IS UNABLE TO QUANTIFY,,No,,,
00-09-26-25,2,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,2,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-26-25,4,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,8,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-26-25,5,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-36-27,1,1,Cassava,Temporary,0,SEPTEMBER 2023,No,No,Yes,1500,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-36-27,1,1,Sweet potatoes,Temporary,0,SEPTEMBER 2023,No,No,Yes,1600,CUTTINGS,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-09-52-56,1,1,Avocado,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPACT,15.83049,12,No,,,
00-10-74-29,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,No,Yes,20,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-10-74-29,1,1,Beans,Temporary,0,SEPTEMBER 2023,Yes,No,No,15,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-11-23-65,1,1,Paddy,Temporary,0,NOVEMBER 2023,No,Yes,No,24,KILOGRAM,Yes,,,,,,,,,,,May 2024,0,No,No,No,No,No,No,No,No,Yes,No,,,,,,,0
00-11-37-78,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,3948,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,,3
00-11-37-78,2,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,1742,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,,,,,,,,,,,,,,,,,1
00-11-37-78,2,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,37,31,Yes,0,SEEDLINGS,
00-11-37-78,3,1,Cassava,Temporary,0,NOVEMBER 2023,No,Yes,No,949,CUTTINGS,Yes,,,,,,,,,,,August 2024,0,No,No,No,No,Yes,No,Yes,No,Yes,No,,,,,,,1
00-11-37-78,5,1,Cassava,Temporary,0,DECEMBER 2023,No,Yes,No,742,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,,1
00-11-37-78,6,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,43,21,Yes,1,SEEDLINGS,
00-12-62-64,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,,,,,,,,,,,,,,,,,0
00-12-62-64,1,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,15,15,No,,,
00-12-62-64,1,1,Mango,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,4,2,No,,,
00-12-62-79,1,1,Maize,Temporary,0,OCTOBER 2023,No,Yes,No,2,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-12-62-79,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,250,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-12-62-79,1,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,20,9,No,,,
00-12-62-79,2,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,3,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-12-62-79,2,1,Beans,Temporary,0,OCTOBER 2023,No,Yes,No,4,KILOGRAM,Yes,,,,,,,,,,,January 2024,0,,,,,,,,,,,,,,,,,0
00-12-99-08,1,1,Groundnut,Temporary,1,DECEMBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,May 2024,0,No,No,No,No,No,No,No,Yes,No,No,,,,,,,1
00-12-99-08,2,1,Maize,Temporary,1,DECEMBER 2023,No,Yes,No,10,KILOGRAM,Yes,,,,,,,,,,,July 2024,1,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,1
00-12-99-08,2,1,Sunflower,Temporary,0,DECEMBER 2023,No,Yes,No,8,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-12-99-08,3,1,Maize,Temporary,0,DECEMBER 2023,No,Yes,No,8,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,2
00-12-99-08,3,2,Sunflower,Temporary,1,DECEMBER 2023,No,Yes,No,10,KILOGRAM,Yes,,,,,,,,,,,June 2024,1,No,Yes,No,No,No,No,No,No,No,No,,,,,,,1
00-13-02-41,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,5,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,,,,,,,,,,,,,,,,,0
00-13-02-41,1,1,Beans,Temporary,0,FEBRUARY 2024,No,Yes,No,2,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,,,,,,,,,,,,,,,,,0
00-13-02-41,1,1,Mango,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,3,3,No,,,
00-13-02-41,2,1,Maize,Temporary,1,SEPTEMBER 2023,No,Yes,No,10,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,1
00-13-34-48,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,300,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,,,,,,,,,,,,,,,,,0
00-13-62-62,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,Yes,No,4,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
