holding_id,FIELD__id,crop_id,areaPlanted,s8q01,s8q02__1,s8q02__2,s8q02__3,s8q02__4,s8q02__5,s8q02__6,s8q02__7,s8q02__8,s8q02__9,s8q02__10,s8q02__11,s8q02__99,s8q03__13,s8q03__14,s8q03__15,s8q03__1,s8q03__2,s8q03__3,s8q03__4,s8q03__5,s8q03__6,s8q03__7,s8q03__8,s8q03__9,s8q03__10,s8q03__11,s8q03__12,s8q03__16,harvest_ton
00-40-20-27,5,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0
00-40-20-27,6,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
00-40-34-66,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,0
00-40-34-66,1,Mango,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
00-40-39-73,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,,,,No,1
00-40-58-80,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0
00-40-64-16,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,0
00-41-32-57,3,Coffee,3,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,,,No,1
00-41-53-38,1,Banana,1,Yes,,,,,,,,,,,,,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,,,,No,5
00-41-53-38,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,No,0
00-41-60-91,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,1
00-42-05-97,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-42-28-09,2,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,,,,No,0
00-44-01-94,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-44-01-94,2,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-45-43-51,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-45-46-17,1,Cashew nut,3,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,0
00-45-48-51,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-46-01-19,1,Banana,1,Yes,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,1
00-46-01-19,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,No,0
00-46-86-44,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
00-49-51-04,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0
00-49-51-04,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,0
00-49-88-33,1,Cashew nut,1,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-49-88-33,2,Cashew nut,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-49-88-33,2,Orange,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,No,0
00-49-88-33,3,Cashew nut,1,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-51-58-34,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,,,,No,0
00-51-61-07,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,0
00-52-37-64,1,Coffee,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,0
00-52-37-64,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,1
00-52-37-64,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,1
00-52-37-64,1,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0
00-52-92-35,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,1
00-53-52-84,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,0
00-53-73-77,1,Coffee,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-53-73-77,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,,,,Yes,1
00-54-24-15,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
00-54-24-15,2,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
00-54-77-32,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,1
00-54-91-98,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-55-27-96,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-55-27-96,3,Cashew nut,2,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-55-31-24,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
00-55-58-01,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-55-84-22,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,1
00-56-34-27,1,Coffee,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
00-56-34-27,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
00-57-07-64,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,,,,Yes,0
00-57-20-66,4,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,0
00-57-26-65,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,0
00-57-26-65,1,Cashew nut,4,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-58-03-37,2,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,,,,No,1
00-58-03-37,5,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,,,,No,0
00-58-60-95,2,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,,,,No,1
00-58-60-95,4,Banana,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,,,,No,1
00-58-95-56,2,Banana,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,0
00-59-02-14,1,Mango,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
00-59-92-67,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-60-52-63,1,Banana,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-60-52-63,1,Mango,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,0
00-61-97-55,1,Cashew nut,3,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1
00-61-97-55,2,Cashew nut,4,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1
00-62-30-99,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-62-89-63,1,Banana,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-62-89-63,1,Mango,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0
00-63-13-85,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,,,,No,1
00-63-64-66,1,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-63-64-66,2,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-63-89-66,2,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,,,,No,0
00-64-76-83,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,,,,No,0
00-65-51-24,2,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,1
00-66-07-41,1,Mango,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,0
00-67-22-18,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-68-65-90,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-69-11-10,1,Banana,1,Yes,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,3
00-69-82-14,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,No,0
00-69-82-14,1,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,No,5
00-70-87-50,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-70-87-50,2,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,1
00-70-97-00,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
00-71-21-59,4,Mango,0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,
00-71-21-59,4,Orange,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,No,0
00-71-41-18,1,Mango,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,
00-73-38-37,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,,,,Yes,1
00-73-42-05,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0
00-73-60-07,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-73-83-59,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0
00-73-83-59,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3
00-73-83-59,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,0
00-73-90-21,1,Banana,1,Yes,,,,,,,,,,,,,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,,,,Yes,1
